Full Name,First Name,Last Name,District / State,Type,Party,First Elected,Gender,Race/ Ethnicity,Religion,LGBTQ,Pre-2020 Incumbent,Senate Class,Birthday,Age,Twitter,Facebook,YouTube,Prior Experience,Education,Veteran?
Suzan DelBene,Suzan,DelBene,Washington's 1st,Representative,Democratic,2012 Special,Woman,White - Non-Hispanic,Christian - Protestant - Episcopalian,No,Won,N/A,2/17/1962,59,RepDelBene,RepDelBene,,Washington Department of Revenue Director,Reed College (BS)University of Washington (MBA),No
Suzanne Bonamici,Suzanne,Bonamici,Oregon's 1st,Representative,Democratic,2012 Special,Woman,White - Non-Hispanic,Jewish,No,Won,N/A,10/14/1954,66,RepBonamici,congresswomanbonamici,RepSuzanneBonamici,Oregon House of RepresentativesOregon State Senate,"Lane Community CollegeUniversity of Oregon (BA, JD)",No
Sylvia Garcia,Sylvia,Garcia,Texas' 29th,Representative,Democratic,2018,Woman,Hispanic - Mexican,Christian - Roman Catholic,No,Won,N/A,9/6/1950,70,RepSylviaGarcia,,,Texas Senate,Texas Woman's University (BA)Texas Southern University (JD),No
Ted Budd,Ted,Budd,North Carolina's 13th,Representative,Republican,2016,Man,White - Non-Hispanic,Christian - Protestant - Nondenominational,No,Won,N/A,10/21/1971,49,RepTedBudd,RepTedBudd,,Businessman,Appalachian State University (BS)Dallas Theological Seminary (MA)Wake Forest University (MBA),No
Ted Deutch,Ted,Deutch,Florida's 22nd,Representative,Democratic,2010 Special,Man,White - Non-Hispanic,Jewish,No,Won,N/A,5/7/1966,55,RepTedDeutch,CongressmanTedDeutch,congressmanteddeutch,Florida Senate,"University of Michigan (BA, JD)",No
Ted Lieu,Ted,Lieu,California's 33rd,Representative,Democratic,2014,Man,Asian - Taiwanese,Christian - Roman Catholic,No,Won,N/A,3/29/1969,52,RepTedLieu,RepTedLieu,,California State SenateCalifornia State Assembly,"Stanford University (BA, BS)Georgetown University (JD)",Yes
Teresa Leger Fernandez,Teresa,Leger Fernandez,New Mexico's 3rd,Representative,Democratic,2020,Woman,Hispanic,Christian - Roman Catholic,No,Open - Ran for Senate,N/A,7/1/1959,62,RepTeresaLF,,,Attorney,Yale University (BA)Stanford University (JD),No
Terri Sewell,Terri,Sewell,Alabama's 7th,Representative,Democratic,2010,Woman,Black - African-American,Christian - Protestant - Methodist,No,Won,N/A,1/1/1965,56,RepTerriSewell,RepSewell,RepSewell,Attorney,"Princeton University (BA)St Hilda's College, Oxford (MA)Harvard University (JD)",No
Thomas Massie,Thomas,Massie,Kentucky's 4th,Representative,Republican,2012 Special,Man,White - Non-Hispanic,Christian - Protestant - Methodist,No,Won,N/A,1/13/1971,50,RepThomasMassie,RepThomasMassie,repthomasmassie,Judge-Executive of Lewis County,"Massachusetts Institute of Technology (BS, MS)",No
Tim Burchett,Tim,Burchett,Tennessee's 2nd,Representative,Republican,2018,Man,White - Non-Hispanic,Christian - Protestant - Presbyterian,No,Won,N/A,8/25/1964,56,RepTimBurchett,,,Mayor of Knox CountyTennessee SenateTennessee House of Representatives,"University of Tennessee,Knoxville (BS)",No
Tim Ryan,Tim,Ryan,Ohio's 13th,Representative,Democratic,2002,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Won,N/A,7/16/1973,47,RepTimRyan,timryan,timryanvision,Ohio Senate,"Youngstown State UniversityBowling Green State University (BA)University of New Hampshire, Concord (JD)",No
Tim Walberg,Tim,Walberg,Michigan's 7th,Representative,Republican,"2010, 2006-2008",Man,White - Non-Hispanic,Christian - Evangelical Protestant - United Brethren,No,Won,N/A,4/12/1951,70,RepWalberg,RepWalberg,RepWalberg,U.S. HouseMichigan House of Representatives,"Western Illinois UniversityMoody Bible InstituteTaylor University (BA)Wheaton College, Illinois (MA)",No
Tom Cole,Tom,Cole,Oklahoma's 4th,Representative,Republican,2002,Man,Native American - Chickasaw,Christian - Protestant - Methodist,No,Won,N/A,4/28/1949,72,TomColeOK04,TomColeOK04,reptomcole,Oklahoma SenateOklahoma Secretary of StateCollege professor,Grinnell College (BA)Yale University (MA)University of Oklahoma (PhD),No
Tom Emmer,Tom,Emmer,Minnesota's 6th,Representative,Republican,2014,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Won,N/A,3/3/1961,60,RepTomEmmer,reptomemmer,RepTomEmmer,Minnesota House of Representatives,Boston CollegeUniversity of Alaska Fairbanks (BA)William Mitchell College of Law (JD),No
Tom Malinowski,Tom,Malinowski,New Jersey's 7th,Representative,Democratic,2018,Man,White - Non-Hispanic (Polish),Unknown/Refused,No,Won,N/A,9/23/1965,55,RepMalinowski,,,"Assistant Secretary of State for Democracy, Human Rights, and Labor","University of California, Berkeley (BA)St Antony's College, Oxford (MPhil)",No
Tom McClintock,Tom,McClintock,California's 4th,Representative,Republican,2008,Man,White - Non-Hispanic,Christian - Protestant - Baptist,No,Won,N/A,7/10/1956,64,RepMcClintock,81125319109,McClintockCA04,California SenateCalifornia State Assembly,"University of California, Los Angeles (BA)",No
Tom O'Halleran,Tom,O'Halleran,Arizona's 1st,Representative,Democratic,2016,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Won,N/A,1/24/1946,75,repohalleran,repohalleran,,Arizona Senate,Lewis UniversityDePaul University,No
Tom Reed,Tom,Reed,New York's 23rd,Representative,Republican,2010 Special,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Won,N/A,11/18/1971,49,RepTomReed,RepTomReed,CongressmanTomReed,Mayor of Corning,Alfred University (BA)Ohio Northern University (JD),No
Tom Rice,Tom,Rice,South Carolina's 7th,Representative,Republican,2012,Man,White - Non-Hispanic,Christian - Protestant - Episcopalian,No,Won,N/A,8/4/1957,63,RepTomRice,reptomrice,RepTomRice,AttorneyBusinessmanHorry County Council Chair,"University of South Carolina (BS, MA, JD)",No
Tom Suozzi,Tom,Suozzi,New York's 3rd,Representative,Democratic,2016,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Won,N/A,8/31/1962,58,RepTomSuozzi,RepTomSuozzi,,County Executive of Nassau CountyMayor of Glen Cove,Boston College (BA)Fordham University (JD),No
Tom Tiffany,Tom,Tiffany,Wisconsin's 7th,Representative,Republican,2020 Special,Man,White - Non-Hispanic,Christian - Protestant,No,Won,N/A,12/30/1957,63,,,,Wisconsin SenateWisconsin State Assembly,University of Wisconsin–River Falls (BS),No
Tony Cardenas,Tony,Cardenas,California's 29th,Representative,Democratic,2012,Man,Hispanic - Mexican,Christian - Protestant,No,Won,N/A,3/31/1963,58,RepCardenas,repcardenas,repcardenas,Los Angeles City Council,"University of California, Santa Barbara (BS)",No
Tony Gonzales,Tony,Gonzales,Texas' 23rd,Representative,Republican,2020,Man,Hispanic - Mexican,Christian - Roman Catholic,No,Open - Retired,N/A,10/10/1980,40,RepTonyGonzales,,,United States Navy Master Chief Petty Officer,Chaminade University (AA)Excelsior College (BS)American Public University (MA),Yes
Tracey Mann,Tracey,Mann,Kansas' 1st,Representative,Republican,2020,Man,White - Non-Hispanic,Christian - Protestant - Pietist,No,Open - Retired,N/A,12/17/1976,44,RepMann,,,Lieutenant Governor of Kansas  Real estate agent  Businessman,Kansas State University (BS),No
Trent Kelly,Trent,Kelly,Mississippi's 1st,Representative,Republican,2015 Special,Man,White - Non-Hispanic,Christian - Protestant - Methodist,No,Won,N/A,3/1/1966,55,reptrentkelly,reptrentkelly,,"District attorney,Tupelo City prosecutorArmy National Guard Colonel","East Central Community CollegeUniversity of Mississippi (BA, JD)United States Army War College (MA)",Yes
Trey Hollingsworth,Trey,Hollingsworth,Indiana's 9th,Representative,Republican,2016,Man,White - Non-Hispanic,Christian - Protestant,No,Won,N/A,9/12/1983,37,reptrey,reptrey,,CEO of Hollingsworth Capital Partners,University of Pennsylvania (BS)Georgetown University (MPP),No
Troy Balderson,Troy,Balderson,Ohio's 12th,Representative,Republican,2018 Special,Man,White - Non-Hispanic,Christian - Protestant,No,Won,N/A,1/16/1962,59,RepBalderson,,,Ohio Senate,Muskingum UniversityOhio State University,No
Troy Carter,Troy,Carter,Louisiana's 2nd,Representative,Democratic,2021 Special,Man,Black - African-American,,No,Won,N/A,10/26/1963,57,,,,Louisiana State SenateLouisiana House of RepresentativesNew Orleans City Council,Xavier University of Louisiana (BA),No
Troy Nehls,Troy,Nehls,Texas' 22nd,Representative,Republican,2020,Man,White - Non-Hispanic,Christian - Protestant,No,Open - Retired,N/A,4/7/1968,53,RepTroyNehls,,,Sheriff of Fort Bend County,Liberty University (BA)University of Houston–Downtown (MA),Yes
Val Demings,Val,Demings,Florida's 10th,Representative,Democratic,2016,Woman,Black - African-American,Christian - Protestant,No,Won,N/A,3/12/1957,64,RepValDemings,RepresentativeValDemings,,Chief of the Orlando Police Department,Florida State University (BS),No
Van Taylor,Van,Taylor,Texas' 3rd,Representative,Republican,2018,Man,White - Non-Hispanic,Christian - Protestant - Episcopalian,No,Won,N/A,8/1/1972,48,RepVanTaylor,,,Texas SenateTexas House of Representatives,"Harvard University (BA, MBA)",Yes
Vern Buchanan,Vern,Buchanan,Florida's 16th,Representative,Republican,2006,Man,White - Non-Hispanic,Christian - Protestant - Southern Baptist,No,Won,N/A,5/8/1951,70,VernBuchanan,CongressmanBuchanan,vernbuchanan,Auto dealer,Cleary University (BA)University of Detroit Mercy (MBA),Yes
Veronica Escobar,Veronica,Escobar,Texas' 16th,Representative,Democratic,2018,Woman,Hispanic,Christian - Roman Catholic,No,Won,N/A,9/15/1969,51,RepEscobar,,,El Paso County CommissionEl Paso County Judge,"University of Texas, El Paso (BA)New York University (MA)",No
Vicente González,Vicente,González,Texas' 15th,Representative,Democratic,2016,Man,Hispanic,Christian - Roman Catholic,No,Won,N/A,9/4/1967,53,RepGonzalez,USCongressmanVicenteGonzalez,,Food processing executiveTexas State Board of Education,Embry–Riddle Aeronautical University (BA)Texas Wesleyan University (JD),No
Vicky Hartzler,Vicky,Hartzler,Missouri's 4th,Representative,Republican,2010,Woman,White - Non-Hispanic,Christian - Evangelical Protestant,No,Won,N/A,10/13/1960,60,RepHartzler,Congresswoman.Hartzler,repvickyhartzler,Missouri House of Representatives,University of Missouri (BS)University of Central Missouri (MS),No
Victoria Spartz,Victoria,Spartz,Indiana's 5th,Representative,Republican,2020,Woman,White - Non-Hispanic (Ukranian),Christian - Eastern Orthodox,No,Open - Retired,N/A,10/6/1978,42,RepSpartz,,,Indiana Senate,"Kyiv National Economic University (BS, MBA)Indiana University, Indianapolis (MAcc)",No
Virginia Foxx,Virginia,Foxx,North Carolina's 5th,Representative,Republican,2004,Woman,White - Non-Hispanic,Christian - Roman Catholic,No,Won,N/A,6/29/1943,78,VirginiaFoxx,RepVirginiaFoxx,repvirginiafoxx,North Carolina Senate,"University of North Carolina at Chapel Hill (BA)University of North Carolina at Greensboro (MA, EdD)",No
Warren Davidson,Warren,Davidson,Ohio's 8th,Representative,Republican,2016 Special,Man,White - Non-Hispanic,Christian - Protestant,No,Won,N/A,3/1/1970,51,WarrenDavidson,CongressmanWarrenDavidson,,Businessman,United States Military Academy (BS)University of Notre Dame (MBA),Yes
William Timmons,William,Timmons,South Carolina's 4th,Representative,Republican,2018,Man,White - Non-Hispanic,Christian - Protestant - Episcopalian,No,Won,N/A,4/30/1984,37,RepTimmons,,,AttorneyEntrepreneur,"George Washington University (BA)University of South Carolina (MA, JD)",Yes
Young Kim,Young,Kim,California's 39th,Representative,Republican,2020,Woman,Asian - Korean,Christian - Protestant,No,Lost,N/A,10/18/1962,58,RepYoungKim,,,California State Assembly,University of Southern California (BBA),No
Yvette Clarke,Yvette,Clarke,New York's 9th,Representative,Democratic,2006,Woman,Black - Jamaican,Christian - Protestant - African Methodist Episcopal,No,Won,N/A,11/21/1964,56,RepYvetteClarke,repyvettedclarke,repyvetteclarke,New York City Council,Oberlin CollegeMedgar Evers College,No
Yvette Herrell,Yvette,Herrell,New Mexico's 2nd,Representative,Republican,2020,Woman,Native American - Cherokee Nation,Christian - Protestant,No,Lost,N/A,3/16/1964,57,RepHerrell,,,New Mexico House of Representatives,ITT Technical Institute (GrCert),No
Zoe Lofgren,Zoe,Lofgren,California's 19th,Representative,Democratic,1994,Woman,White - Non-Hispanic,Christian - Protestant - Lutheran,No,Won,N/A,12/21/1947,73,RepZoeLofgren,zoelofgren,RepZoeLofgren,Santa Clara County Board of Supervisors,Stanford University (BA)Santa Clara University(JD),No
,,,Florida's 20th,Representative,,,,,,,,,,,,,,,,
,,,Ohio's 11th,Representative,,,,,,,,,,,,,,,,
,,,Ohio's 15th,Representative,,,,,,,,,,,,,,,,
,,,Texas' 6th,Representative,,,,,,,,,,,,,,,,
Alex Padilla,Alex,Padilla,California,Senator,Democratic,2021 Appointment,Man,Hispanic - Mexican,Unknown/Refused,No,Not up,III,3/22/1973,48,SenAlexPadilla,,,Engineer Secretary of State of CaliforniaCalifornia SenateLos Angeles City Council President,Massachusetts Institute of Technology,No
Amy Klobuchar,Amy,Klobuchar,Minnesota,Senator,Democratic,2006,Woman,White - Non-Hispanic,Christian - Protestant - Congregationalist,No,Not up,I,5/25/1960,61,SenAmyKlobuchar,,senatorklobuchar,"Lawyer Hennepin County, Minnesota County Attorney",Yale University University of Chicago,No
Angus King,Angus,King,Maine,Senator,Independent - Dem Caucus,2012,Man,White - Non-Hispanic,Christian - Protestant - Episcopalian,No,Not up,I,3/31/1944,77,SenAngusKing,SenatorAngusSKingJr,SenatorAngusKing,LawyerSenate stafferBusiness founderCorporate executivePublic television news program host Governor of Maine,Dartmouth College University of Virginia,No
Ben Cardin,Ben,Cardin,Maryland,Senator,Democratic,2006,Man,White - Non-Hispanic,Jewish - Modern Orthodox,No,Not up,I,10/5/1943,77,SenatorCardin,senatorbencardin,senatorcardin,Lawyer U.S. HouseSpeaker of the Maryland House of Delegates,"University of Pittsburgh University of Maryland, Baltimore",No
Ben Ray Luján,Ben Ray,Luján,New Mexico,Senator,Democratic,2020,Man,Hispanic - New Mexican (Hispanos),Christian - Roman Catholic,No,Open Seat - Retired,II,6/7/1972,49,SenatorLujan,,,"Director of Administrative Services andChief Financial Officer, New Mexico Cultural Affairs DepartmentNew Mexico Deputy State Treasurer U.S. HouseNew Mexico Public Regulation Commission",New Mexico Highlands University,No
Ben Sasse,Ben,Sasse,Nebraska,Senator,Republican,2014,Man,White - Non-Hispanic,Christian - Protestant - Lutheran,No,Won,II,2/22/1972,49,SenSasse,SenatorSasse,,"Management consultantHouse stafferProfessorUniversity presidentAssistant Secretary for Planning and Evaluation, HHS ",Harvard University St. John's College Yale University,No
Bernie Sanders,Bernie,Sanders,Vermont,Senator,Independent - Dem Caucus,2006,Man,White - Non-Hispanic,Jewish,No,Not up,I,9/8/1941,79,SenSanders,senatorsanders,senatorsanders,"FilmmakerWriterPolitical activist U.S. HouseMayor of Burlington, Vermont",University of Chicago,No
Bill Cassidy,Bill,Cassidy,Louisiana,Senator,Republican,2014,Man,White - Non-Hispanic,Christian - Protestant,No,Won,II,9/28/1957,63,SenBillCassidy,,SenatorBillCassidy,Physician U.S. HouseLouisiana Senate,Louisiana State University,No
Bill Hagerty,Bill,Hagerty,Tennessee,Senator,Republican,2020,Man,White - Non-Hispanic,Christian - Protestant - Episcopalian,No,Open Seat - Retired,II,8/14/1959,61,SenatorHagerty,,,"Management consultantPartner, private equity investment firmUnited States Ambassador to JapanTennessee Commissioner of Economic and Community Development ",Vanderbilt University,No
Bob Casey,Bob,Casey,Pennsylvania,Senator,Democratic,2006,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Not up,I,4/13/1960,61,SenBobCasey,SenatorBobCasey,SenatorBobCasey,TeacherLawyer Pennsylvania TreasurerPennsylvania Auditor,College of the Holy Cross Catholic University of America,No
Bob Menendez,Bob,Menendez,New Jersey,Senator,Democratic,2006 Appointment,Man,Hispanic - Cuban,Christian - Roman Catholic,No,Not up,I,1/1/1954,67,SenatorMenendez,senatormenendez,SenatorMenendezNJ,Lawyer U.S. HouseNew Jersey SenateNew Jersey General AssemblyMayor of Union CityUnion City Board of Education,Saint Peter's University Rutgers University,No
Brian Schatz,Brian,Schatz,Hawaii,Senator,Democratic,2012 Appointment,Man,White - Non-Hispanic,Jewish,No,Not up,III,10/20/1972,48,SenBrianSchatz,SenBrianSchatz,senbrianschatz,TeacherNonprofit organization executive Lieutenant Governor of HawaiiHawaii House of Representatives,Pomona College,No
Catherine Cortez Masto,Catherine,Cortez Masto,Nevada,Senator,Democratic,2016,Woman,Hispanic - Mexican,Christian - Roman Catholic,No,Not up,III,3/29/1964,57,sencortezmasto,SenatorCortezMasto,,Lawyer Nevada Attorney General,"University of Nevada, Reno Gonzaga university",No
Chris Coons,Chris,Coons,Delaware,Senator,Democratic,2010,Man,White - Non-Hispanic,Christian - Protestant - Presbyterian,No,Won,II,9/9/1963,57,ChrisCoons,senatorchriscoons,senatorchriscoons,"Nonprofit organization executiveLawyer New Castle County, Delaware County ExecutiveMember, New Castle County Council",Amherst College Yale Divinity School Yale Law School,No
Chris Murphy,Chris,Murphy,Connecticut,Senator,Democratic,2012,Man,White - Non-Hispanic,Christian - Protestant,No,Not up,I,8/3/1973,47,senmurphyoffice,chrismurphyct,senchrismurphy,LawyerPolitical campaign manager U.S. HouseConnecticut SenateConnecticut House of Representatives,Williams College University of Connecticut School of Law,No
Chris Van Hollen,Chris,Van Hollen,Maryland,Senator,Democratic,2016,Man,White - Non-Hispanic,Christian - Protestant - Episcopalian,No,Not up,III,1/10/1959,62,ChrisVanHollen,chrisvanhollen,RepChrisVanHollen,U.S. Senate staff memberMaryland Governor's legislative advisorLawyer U.S. HouseMaryland SenateMaryland House of Delegates,Swathmore College Harvard University Georgetown University,No
Chuck Grassley,Chuck,Grassley,Iowa,Senator,Republican,1980,Man,White - Non-Hispanic,Christian - Protestant - Baptist,No,Not up,III,9/17/1933,87,ChuckGrassley,grassley,senchuckgrassley,FarmerCollege professor U.S. HouseIowa House of Representatives,University of Northern Iowa University of Iowa,No
Chuck Schumer,Chuck,Schumer,New York,Senator,Democratic,1998,Man,White - Non-Hispanic,Jewish,No,Not up,III,11/23/1950,70,SenSchumer,senschumer,SenatorSchumer,Lawyer U.S. HouseNew York State Assembly,Harvard University,No
Cindy Hyde-Smith,Cindy,Hyde-Smith,Mississippi,Senator,Republican,2018 Appointment,Woman,White - Non-Hispanic,Christian - Protestant - Southern Baptist,No,Won,II,5/10/1959,62,SenHydeSmith,,,Farmer Mississippi Commissioner of Agriculture and CommerceMississippi Senate,Copiah-Lincoln Community College University of Siuthern Mississippi,No
Cory Booker,Cory,Booker,New Jersey,Senator,Democratic,2013 Special,Man,Black - African-American,Christian - Protestant - Baptist,No,Won,II,4/27/1969,52,SenBooker,,SenCoryBooker,"Lawyer Mayor of Newark, New JerseyNewark Municipal Council",Stanford University Oxford University Yale University,No
Cynthia Lummis,Cynthia,Lummis,Wyoming,Senator,Republican,2020,Woman,White - Non-Hispanic,Christian - Protestant - Lutheran,No,Open Seat - Retired,II,9/10/1954,66,SenLummis,,,Lawyer U.S. HouseWyoming TreasurerWyoming SenateWyoming House of Representatives,University of Wyoming,No
Dan Sullivan,Dan,Sullivan,Alaska,Senator,Republican,2014,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Won,II,11/13/1964,56,SenDanSullivan,SenDanSullivan,,U.S. Marine Corps officerLawyerAssistant Secretary of State for Economic and Business Affairs Alaska Attorney General,Culver Military Academy Harvard University Georgetown University,Yes
Deb Fischer,Deb,Fischer,Nebraska,Senator,Republican,2012,Woman,White - Non-Hispanic,Christian - Protestant - Presbyterian,No,Not up,I,3/1/1951,70,SenatorFischer,senatordebfischer,senatordebfischer,Rancher Nebraska Legislature,University of Nebraska-Lincoln,No
Debbie Stabenow,Debbie,Stabenow,Michigan,Senator,Democratic,2000,Woman,White - Non-Hispanic,Christian - Protestant - Methodist,No,Not up,I,4/29/1950,71,SenStabenow,SenatorStabenow,senatorstabenow,Social workerLeadership training consultant U.S. HouseMichigan House of RepresentativesMichigan Senate,Michigan State University,No
Dianne Feinstein,Dianne,Feinstein,California,Senator,Democratic,1992,Woman,White - Non-Hispanic,Jewish,No,Not up,I,6/22/1933,88,SenFeinstein,senatorfeinstein,SenatorFeinstein,"Non-profit organization fellowMember, California Women's Parole Board Mayor of San FranciscoSan Francisco Board of Supervisors",Stanford University,No
Dick Durbin,Dick,Durbin,Illinois,Senator,Democratic,1996,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Won,II,11/21/1944,76,SenatorDurbin,SenatorDurbin,SenatorDurbin,LawyerProfessor U.S. House,Georgetown University,No
Ed Markey,Ed,Markey,Massachusetts,Senator,Democratic,2013 Special,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Won,II,7/11/1946,74,SenMarkey,EdJMarkey,RepMarkey,"Member, United States Army ReserveLawyer U.S. HouseMassachusetts House of Representatives",Boston College,Yes
Elizabeth Warren,Elizabeth,Warren,Massachusetts,Senator,Democratic,2012,Woman,White - Non-Hispanic,Christian - Protestant - Methodist,No,Not up,I,6/22/1949,72,SenWarren,senatorelizabethwarren,senelizabethwarren,LawyerProfessorResearch associateNonprofit organization executiveCOP ChairCFPB Special Advisor ,University of Houston Rutgers University,No
Gary Peters,Gary,Peters,Michigan,Senator,Democratic,2014,Man,White - Non-Hispanic,Christian - Protestant - Episcopalian,No,Won,II,12/1/1958,62,SenGaryPeters,SenGaryPeters,RepGaryPeters,United States Navy Reserve officerFinancial advisorLawyerCollege professor and lecturer U.S. HouseMichigan Senate,Alma College University of Detroit Wayne State University Michigan State University,Yes
Jack Reed,Jack,Reed,Rhode Island,Senator,Democratic,1996,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Won,II,11/12/1949,71,SenJackReed,SenJackReed,SenatorReed,LawyerArmy Reserve officerArmy officer U.S. HouseRhode Island Senate,United States Military Academy Harvard University,Yes
Jacky Rosen,Jacky,Rosen,Nevada,Senator,Democratic,2018,Woman,White - Non-Hispanic,Jewish,No,Not up,I,8/2/1957,63,SenJackyRosen,RepJackyRosen,,"Computer programmerSoftware developer, designer, consultant[36][37] U.S. House",University of Minnesota Clark County Community College,No
James Lankford,James,Lankford,Oklahoma,Senator,Republican,2014,Man,White - Non-Hispanic,Christian - Protestant - Southern Baptist,No,Not up,III,3/4/1968,53,SenatorLankford,SenatorLankford,SenatorLankford,TeacherNonprofit program director U.S. House,"University of Texas, Austin Southwestern Baptist Theological Seminary",No
Jeanne Shaheen,Jeanne,Shaheen,New Hampshire,Senator,Democratic,2008,Woman,White - Non-Hispanic,Christian - Protestant,No,Won,II,1/28/1947,74,SenatorShaheen,SenatorShaheen,senatorshaheen,TeacherEntrepreneur Governor of New HampshireNew Hampshire Senate,Shippensburg University University of Mississippi,No
Jeff Merkley,Jeff,Merkley,Oregon,Senator,Democratic,2008,Man,White - Non-Hispanic,Christian - Protestant - Lutheran,No,Won,II,10/24/1956,64,SenJeffMerkley,jeffmerkley,SenatorJeffMerkley,"Nonprofit organization executiveCBO analyst, Defense Department Oregon House Speaker",Stanford University Princeton University,No
Jerry Moran,Jerry,Moran,Kansas,Senator,Republican,2010,Man,White - Non-Hispanic,Christian - Protestant,No,Not up,III,5/29/1954,67,JerryMoran,jerrymoran,senatorjerrymoran,BankerLawyer U.S. HouseKansas Senate,Fort Hays State University University of Kansas,No
Jim Inhofe,Jim,Inhofe,Oklahoma,Senator,Republican,1994,Man,White - Non-Hispanic,Christian - Protestant - Presbyterian,No,Won,II,11/17/1934,86,InhofePress,jiminhofe,jiminhofepressoffice,"Specialist Fourth Class, U.S. ArmyBusinessmanReal estate developerCorporate executive U.S. HouseMayor of Tulsa, OklahomaOklahoma SenateOklahoma House of Representatives",University of Tulsa,Yes
Jim Risch,Jim,Risch,Idaho,Senator,Republican,2008,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Won,II,5/3/1943,78,SenatorRisch,senatorjimrisch,SenatorJamesRisch,ProfessorRancherNonprofit organization executiveLawyer Governor of IdahoLieutenant Governor of IdahoIdaho Senate President pro tempore,University of Wisconsin-Milwaukee University of Idaho,No
Joe Manchin,Joe,Manchin,West Virginia,Senator,Democratic,2010,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Not up,I,8/24/1947,73,Sen_JoeManchin,JoeManchinIII,SenatorJoeManchin,Corporate executive Governor of West VirginiaSecretary of State of West VirginiaWest Virginia SenateWest Virginia House of Delegates,West Virginia University,No
John Barrasso,John,Barrasso,Wyoming,Senator,Republican,2007 Appointment,Man,White - Non-Hispanic,Christian - Protestant - Presbyterian,No,Not up,I,7/21/1952,68,SenJohnBarrasso,johnbarrasso,barrassowyo,Orthopedic surgeonMedical chief of staffNonprofit organization executive Wyoming Senate,Rensselaer Polytechnic University Georgetown University Yale University,No
John Boozman,John,Boozman,Arkansas,Senator,Republican,2010,Man,White - Non-Hispanic,Christian - Protestant - Southern Baptist,No,Not up,III,12/10/1950,70,JohnBoozman,JohnBoozman,BoozmanPressOffice,Optometrist U.S. HouseRogers Public Schools Board,University of Arkansas Southern College of Optometry,No
John Cornyn,John,Cornyn,Texas,Senator,Republican,2002,Man,White - Non-Hispanic,Christian - Protestant - Nondenominational,No,Won,II,2/2/1952,69,JohnCornyn,sen.johncornyn,senjohncornyn,Lawyer San Antonio District JudgeTexas Attorney GeneralTexas Supreme Court(Associate Justice),"Trinity University St. Mary's University, San Antonio University of Virginia",No
John Hickenlooper,John,Hickenlooper,Colorado,Senator,Democratic,2020,Man,White - Non-Hispanic,Christian - Protestant - Episcopalian,No,Lost,II,2/7/1952,69,,,,GeologistBusinessman Governor of ColoradoMayor of Denver,Wesleyan University,No
John Hoeven,John,Hoeven,North Dakota,Senator,Republican,2010,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Not up,III,3/13/1957,64,SenJohnHoeven,SenatorJohnHoeven,senatorjohnhoevennd,Banker Governor of North Dakota,Dartmouth College Northwestern University,No
John Kennedy,John,Kennedy,Louisiana,Senator,Republican,2016,Man,White - Non-Hispanic,Christian - Protestant - Methodist,No,Not up,III,11/21/1951,69,SenJohnKennedy,JohnKennedyLouisiana,,Magazine editorLawyerProfessorStaff of Louisiana Governor Buddy RoemerSecretary of the Louisiana Department of Revenue Louisiana Treasurer,"Vanderbilt University University of Virginia Magdalen College, Oxford",No
John Thune,John,Thune,South Dakota,Senator,Republican,2004,Man,White - Non-Hispanic,Christian - Evangelical Protestant,No,Not up,III,1/7/1961,60,SenJohnThune,,johnthune,Nonprofit organization executiveState Railroad DirectorSouth Dakota Republican Party Executive Director U.S. House,Biola University University of South Dakota,No
Jon Ossoff,Jon,Ossoff,Georgia,Senator,Democratic,2021 Runoff,Man,White - Non-Hispanic,Jewish,No,Lost,II,2/16/1987,34,SenOssoff,,,Investigative journalistDocumentary film producerU.S. House staffer ,Georgetown University London School of Economics,No
Jon Tester,Jon,Tester,Montana,Senator,Democratic,2006,Man,White - Non-Hispanic,Christian - Protestant - Church of God,No,Not up,I,8/21/1956,64,SenatorTester,senatortester,senatorjontester,"Music teacherFarmer Montana Senate PresidentBig Sandy, Montana School Board",University of Providence,No
Joni Ernst,Joni,Ernst,Iowa,Senator,Republican,2014,Woman,White - Non-Hispanic,Christian - Protestant - Lutheran,No,Won,II,7/1/1970,51,SenJoniErnst,senjoniernst,,FarmerArmy National Guard officer Iowa Senate,Iowa State University Columbus State University,Yes
Josh Hawley,Josh,Hawley,Missouri,Senator,Republican,2018,Man,White - Non-Hispanic,Christian - Protestant,No,Not up,I,12/31/1979,41,SenHawleyPress,,,LawyerProfessor Attorney General of Missouri,Stamford University Yale University,No
